gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
273,The Smalcald Articles,"Luther, Martin",155,en,Christianity,Public domain in the USA.,TRUE
274,Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences,"Luther, Martin",155,en,Christianity/Harvard Classics/Banned Books from Anne Haight's list,Public domain in the USA.,TRUE
275,"The Augsburg Confession
The confession of faith, which was submitted to His Imperial Majesty Charles V at the diet of Augsburg in the year 1530","Melanchthon, Philipp",156,en,NA,Public domain in the USA.,TRUE
277,Trinity Site,National Atomic Museum (U.S.),158,en,World War II,Public domain in the USA.,TRUE
278,"Trinity Site: 1945-1995.
A National Historic Landmark, White Sands Missile Range, New Mexico",White Sands Missile Range (N.M.). Public Affairs Office,43998,en,World War II,Public domain in the USA.,TRUE
279,Photos and Maps of Trinity (Atomic Test) Site,NA,NA,en,World War II,Public domain in the USA.,TRUE
280,Records of a Family of Engineers,"Stevenson, Robert Louis",35,en,NA,Public domain in the USA.,TRUE
281,Father Damien: An Open Letter to the Reverend Dr. Hyde of Honolulu,"Stevenson, Robert Louis",35,en,NA,Public domain in the USA.,TRUE
282,"Eothen; Or, Traces of Travel Brought Home from the East","Kinglake, Alexander William",163,en,NA,Public domain in the USA.,TRUE
283,The Reef,"Wharton, Edith",104,en,NA,Public domain in the USA.,TRUE
284,The House of Mirth,"Wharton, Edith",104,en,"Bestsellers, American, 1895-1923",Public domain in the USA.,TRUE
285,The Lost Continent,"Hyne, Charles John Cutcliffe Wright",4423,en,Science Fiction,Public domain in the USA.,TRUE
286,Laddie: A True Blue Story,"Stratton-Porter, Gene",71,en,"Bestsellers, American, 1895-1923",Public domain in the USA.,TRUE
287,Remember the Alamo,"Barr, Amelia E.",2199,en,NA,Public domain in the USA.,TRUE
288,The Certain Hour (Dizain des Poëtes),"Cabell, James Branch",166,en,Fantasy,Public domain in the USA.,TRUE
289,The Wind in the Willows,"Grahame, Kenneth",153,en,Best Books Ever Listings/Children's Literature,Public domain in the USA.,TRUE
290,"The Stark Munro Letters
Being series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884","Doyle, Arthur Conan",69,en,NA,Public domain in the USA.,TRUE
291,The Golden Age,"Grahame, Kenneth",153,en,NA,Public domain in the USA.,TRUE
292,"Beauty and the Beast, and Tales of Home","Taylor, Bayard",167,en,NA,Public domain in the USA.,TRUE
293,Paul Prescott's Charge,"Alger, Horatio, Jr.",168,en,Children's Fiction,Public domain in the USA.,TRUE
294,"The Captain of the Polestar, and Other Tales","Doyle, Arthur Conan",69,en,NA,Public domain in the USA.,TRUE
295,The Early Short Fiction of Edith Wharton — Part 1,"Wharton, Edith",104,en,NA,Public domain in the USA.,TRUE
296,The Cash Boy,"Alger, Horatio, Jr.",168,en,Children's Fiction,Public domain in the USA.,TRUE
297,The Flirt,"Tarkington, Booth",169,en,NA,Public domain in the USA.,TRUE
298,The Market-Place,"Frederic, Harold",83,en,"Bestsellers, American, 1895-1923",Public domain in the USA.,TRUE
